approach,model,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
nlp,ridge,0.082087275092149,0.07663638386003974,0.0814780118901566,0.0036461914007139408,0.10034708104358592,0.0030568128991523983
answer_description,lasso,0.12491768388567097,0.06319131067241077,0.08163404196113264,0.0039062634914060704,0.09804696277633523,0.0037511510038379966
nlp_plus_efficientnet,ridge,0.0684284643245467,0.06800189694298872,0.08173379768036572,0.002199690824810128,0.10111046758869746,0.0021668351898402553
answer_description,elastic_net,0.11003208244517941,0.06404390687787669,0.08229955278946958,0.0037685682431954593,0.09888043270346698,0.003895127387241432
nlp,random_forest,0.08797716937920001,0.047303307868044174,0.08241676411187526,0.0037254996296714783,0.10015675427693867,0.0037058500851306166
nlp_plus_efficientnet,random_forest,0.07073587604405303,0.045531526586442356,0.08260409775462985,0.0025369052321879875,0.10105306873819724,0.001850213370555701
nlp,lasso,0.09256968164678828,0.06923887277955,0.08270946178357802,0.002826392363472002,0.09980089876326746,0.003126898993183299
answer_description,gradient_boosting,0.08137314561868166,0.05324299953140067,0.08279796598094798,0.0059380373060347255,0.10054681416436614,0.004694033575800403
answer_description,random_forest,0.07539675786291153,0.0774248746280841,0.0830466696724587,0.005649274633612947,0.1008156573124264,0.005359959686191086
answer_description,extra_trees,0.09926527483678313,0.03434904407981301,0.08308740016113168,0.0045555849403759755,0.09956097725493443,0.003529679825176075
answer_description,linear_regression,0.09564041008122762,0.08404972248870361,0.08311489811360709,0.004742495986041623,0.09967945775908713,0.005827646255484268
nlp,elastic_net,0.0812489567904229,0.06234164181057578,0.0832019407212671,0.0035227976433948546,0.1004312757036242,0.002145267521212565
answer_description,ridge,0.08087871906555469,0.0726190353301154,0.08359846753411428,0.0037846143001191907,0.10046884856037966,0.0043140370835391215
nlp_plus_efficientnet,elastic_net,0.04118207288349551,0.05117673611807945,0.08365604979965256,0.0034586103194115775,0.1026393216687338,0.002076310395647312
nlp_plus_efficientnet,gradient_boosting,0.04341545381656382,0.04804313982896328,0.08462176500319082,0.003377736111617677,0.10253493196234889,0.0024340409216782612
nlp_plus_efficientnet,extra_trees,0.04872516003669771,0.041875715804784726,0.08529076626045345,0.004399505001441354,0.10230711638456784,0.003756929749339645
nlp,gradient_boosting,0.012073226866405284,0.07803902397279018,0.08538865346979325,0.004874118852276196,0.10423610774474994,0.005673965222277941
nlp_plus_efficientnet,linear_regression,-0.0894823427427951,0.0892506314477693,0.0865148553812702,0.004042498089766113,0.10939922106513285,0.00518316536122369
answer_only,lasso,0.011490409171319826,0.0508906654857779,0.08769960125715906,0.004564972547273939,0.10428026011563094,0.004125483831932294
efficientnet_only,extra_trees_pca,-0.015982953400449685,0.015985370021102622,0.08774169679609231,0.0046438464184608294,0.10575966271085409,0.0034419998400200304
answer_only,elastic_net,0.008291519498157585,0.050343462210623614,0.08782680630926468,0.004383754170689934,0.10445016634080444,0.004115187398080896
answer_description,knn_5,-0.030817549061649907,0.14076015143644713,0.08788710434682759,0.005451632060815903,0.10618957208331796,0.006469272101679436
answer_only,ridge,0.0011854255317686358,0.04255269728602497,0.08803076205426016,0.003957787132861224,0.10484089250464126,0.004008985873356018
answer_only,linear_regression,-0.004682209120129843,0.04286668154568296,0.08806995845935192,0.003851001380043105,0.10514079746485308,0.003839181375780117
answer_only,extra_trees,-0.006526768892412371,0.05084399225810137,0.08808166448691043,0.005904663183539706,0.10525137216731799,0.00462234560577124
answer_only,gradient_boosting,-0.018900791301153054,0.07223146923928744,0.0881873256689363,0.006857429974580187,0.10589146660146269,0.005863596993577641
efficientnet_only,random_forest_pca,-0.02862793900004341,0.021081803555225386,0.0882678272023153,0.00425709071072193,0.10639923468347323,0.003103078553029315
efficientnet_only,elastic_net_pca,-0.037378337022962824,0.039633569319042515,0.08839584791434096,0.002562012918901012,0.106788848153255,0.00152922170665885
efficientnet_only,ridge_pca,-0.03976899993369818,0.04021359483374187,0.08850689128804749,0.0025250908701341533,0.10691053590980788,0.001503968073032392
efficientnet_only,dummy_mean,-0.02490873562635252,0.026177120154128312,0.0885264730378276,0.004782778555697951,0.10622704524549179,0.0038586602739190436
answer_description,dummy_mean,-0.02490873562635252,0.026177120154128312,0.0885264730378276,0.004782778555697951,0.10622704524549179,0.0038586602739190436
answer_only,dummy_mean,-0.02490873562635252,0.026177120154128312,0.0885264730378276,0.004782778555697951,0.10622704524549179,0.0038586602739190436
nlp_plus_efficientnet,dummy_mean,-0.02490873562635252,0.026177120154128312,0.0885264730378276,0.004782778555697951,0.10622704524549179,0.0038586602739190436
answer_description,svr_rbf,-0.07732358253527102,0.1870041790204175,0.0888818441759098,0.009006225644557084,0.10857701940576499,0.010306854084293576
answer_only,random_forest,-0.02594417633691355,0.05827473894948088,0.08904725466570111,0.00637775637973343,0.10626811996712897,0.005164869959065749
nlp_plus_efficientnet,svr_rbf,-0.07437632219743125,0.07974545354120947,0.0890828537137122,0.0036367258419965722,0.10859026782547421,0.002780852101954045
efficientnet_only,gradient_boosting_pca,-0.07928989432753845,0.030642137262660157,0.08972193883000217,0.004454879782561289,0.10898206163996926,0.003335175038859485
efficientnet_only,svr_rbf_pca,-0.10046018574494875,0.06643464562740252,0.09026297248526802,0.0029416422761342834,0.10993836272096572,0.002209309197988069
answer_only,svr_rbf,-0.1373402381686195,0.08599022349972574,0.09180920477590684,0.00698926381006002,0.11186947606218138,0.00636091984585918
nlp_plus_efficientnet,knn_5,-0.2132297223565606,0.08712775061378392,0.0937401362904224,0.0036833828626093267,0.11541085161507592,0.0032047539463362813
answer_only,knn_5,-0.32542021926044756,0.1315918104371387,0.09864761431850091,0.007573739813794086,0.12069862571277512,0.007942898856414093
